AGUA_CRUDA,CLORO,SULFATO_AL,SULFATO_CU,PH_I,pH_S,COLOR_I,COLOR_S,TURBIEDAD_I,TURBIEDAD_S,,
45598.00,94.00,1000.00,30.00,7.51,6.96,121.00,34.00,11.79,0.41,,
44915.00,96.00,500.00,20.00,7.53,7.02,83.00,29.00,10.61,0.42,,
43403.00,97.00,1000.00,20.00,7.64,7.07,85.00,34.00,10.04,0.45,,
45419.00,106.00,500.00,30.00,7.58,7.05,103.00,41.00,11.45,0.36,,
36338.00,82.00,1000.00,30.00,7.63,7.14,101.00,29.00,11.09,0.40,,
43346.00,95.00,500.00,30.00,7.71,7.11,96.00,18.00,11.88,0.37,,
43282.00,101.00,500.00,30.00,7.71,7.09,96.00,15.00,11.87,0.32,,
41762.00,95.00,500.00,30.00,7.68,7.11,73.00,19.00,11.72,0.36,,
41776.00,84.00,500.00,30.00,7.68,7.10,88.00,31.00,10.97,0.33,,
42516.00,98.00,500.00,30.00,7.64,7.10,100.00,32.00,11.33,0.39,,
42472.00,96.00,1000.00,40.00,7.57,7.03,94.00,31.00,10.65,0.34,,
30439.00,63.00,0.00,30.00,7.46,6.99,122.00,33.00,11.70,0.23,,
44853.00,104.00,1000.00,30.00,7.66,7.01,119.00,38.00,11.35,0.38,,
41614.00,93.00,500.00,30.00,7.62,6.98,112.00,23.00,10.93,0.36,,
43207.00,98.00,500.00,30.00,7.68,7.04,104.00,25.00,10.76,0.37,,
42443.00,104.00,500.00,30.00,7.71,7.06,102.00,29.00,10.96,0.34,,
42091.00,101.00,500.00,30.00,7.67,7.03,83.00,24.00,11.36,0.38,,
43474.00,94.00,500.00,40.00,7.62,7.04,102.00,24.00,11.22,0.27,,
43301.00,102.00,500.00,40.00,7.61,7.08,114.00,27.00,10.88,0.32,,
43245.00,101.00,500.00,30.00,7.77,7.10,92.00,16.00,11.07,0.39,,
42809.00,99.00,500.00,30.00,7.81,7.10,98.00,22.00,11.74,0.37,,
36338.00,79.00,550.00,40.00,7.80,7.12,86.00,30.00,11.35,0.34,,
45778.00,99.00,500.00,40.00,7.56,6.96,87.00,25.00,11.64,0.36,,
38985.00,90.00,500.00,30.00,7.62,7.05,81.00,18.00,11.25,0.35,,
41661.00,102.00,500.00,30.00,7.72,6.97,57.00,20.00,9.57,0.33,,
43387.00,99.00,1000.00,40.00,7.71,6.98,85.00,22.00,10.45,0.41,,
44902.00,98.00,500.00,30.00,7.78,7.00,111.00,19.00,12.21,0.51,,
42031.00,99.00,500.00,40.00,7.65,7.09,81.00,19.00,11.49,0.39,,
45740.00,104.00,500.00,40.00,7.61,7.02,92.00,18.00,11.83,0.36,,
41777.00,101.00,500.00,30.00,7.66,7.07,107.00,20.00,11.61,0.32,,
43056.00,98.00,1000.00,30.00,7.62,7.05,94.00,21.00,11.39,0.34,,
44426.00,102.00,500.00,40.00,7.70,7.06,98.00,26.00,11.09,0.32,,
40238.00,98.00,500.00,40.00,7.56,6.99,67.00,17.00,12.29,0.34,,
42402.00,100.00,500.00,30.00,7.76,7.04,88.00,19.00,11.98,0.36,,
41738.00,99.00,1000.00,30.00,7.74,7.04,93.00,23.00,12.09,0.34,,
43437.00,100.00,500.00,30.00,7.70,7.04,78.00,22.00,13.32,0.36,,
41698.00,92.00,500.00,40.00,7.66,7.06,111.00,24.00,13.16,0.33,,
43783.00,96.00,500.00,40.00,7.71,7.09,103.00,25.00,12.12,0.40,,
43705.00,98.00,1000.00,30.00,7.63,7.07,97.00,27.00,12.19,0.38,,
43199.00,99.00,500.00,30.00,7.72,7.09,116.00,24.00,11.48,0.35,,
43982.00,101.00,500.00,40.00,7.56,7.06,104.00,23.00,12.02,0.39,,
44876.00,102.00,1000.00,40.00,7.73,7.06,123.00,24.00,11.27,0.33,,
43105.00,98.00,500.00,40.00,7.75,7.05,107.00,23.00,12.74,0.32,,
42092.00,97.00,500.00,30.00,7.64,7.05,100.00,22.00,12.38,0.28,,
43855.00,100.00,500.00,30.00,7.73,7.12,114.00,18.00,11.83,0.30,,
42927.00,95.00,1000.00,40.00,7.69,7.11,93.00,10.00,12.83,0.32,,
42181.00,99.00,500.00,40.00,7.67,7.07,86.00,,12.28,0.30,,
41444.00,97.00,500.00,30.00,7.62,6.99,61.00,6.00,14.45,0.30,,
41718.00,99.00,1000.00,30.00,7.65,7.04,95.00,1.00,11.78,0.33,,
42515.00,98.00,500.00,30.00,7.68,7.02,97.00,10.00,12.42,0.34,,
41266.00,104.00,500.00,20.00,7.61,7.01,88.00,12.00,12.40,0.36,,
40792.00,98.00,1000.00,30.00,7.65,7.06,73.00,12.00,12.67,0.50,,
41566.00,100.00,500.00,40.00,7.55,7.03,88.00,11.00,13.32,0.28,,
41708.00,97.00,500.00,30.00,7.68,7.08,99.00,10.00,13.48,0.29,,
40912.00,96.00,500.00,30.00,7.75,7.07,111.00,7.00,13.57,0.33,,
41125.00,94.00,1000.00,40.00,7.76,7.03,132.00,9.00,13.63,0.32,,
41508.00,96.00,500.00,40.00,7.67,7.08,140.00,15.00,14.08,0.36,,
41115.00,90.00,500.00,40.00,7.72,7.08,146.00,11.00,14.85,0.40,,
41518.00,94.00,1000.00,40.00,7.73,7.07,158.00,7.00,16.23,0.31,,
